               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  56,            0.014903,            0.010195,           0.0038782,              0.8783,              0.8638,             0.88638,             0.77395,            0.010709,           0.0063014,            0.014846,            0.004555,            0.004555,            0.004555
                  57,            0.014938,            0.010639,            0.003686,             0.85776,             0.85873,             0.87833,             0.76796,            0.011216,            0.006403,            0.014731,            0.004456,            0.004456,            0.004456
                  58,            0.014441,            0.010143,           0.0033476,             0.87023,             0.83092,             0.85721,             0.75168,            0.011378,           0.0065392,            0.016593,            0.004357,            0.004357,            0.004357
                  59,            0.014153,            0.010538,           0.0034659,             0.84132,             0.88435,              0.8914,             0.78355,            0.011004,            0.006646,             0.01409,            0.004258,            0.004258,            0.004258
                  60,            0.014112,           0.0099588,           0.0031937,             0.84975,             0.93193,             0.92142,             0.81243,            0.010063,           0.0060889,            0.012409,            0.004159,            0.004159,            0.004159
                  61,            0.013931,           0.0098958,           0.0034656,             0.89923,             0.89338,               0.919,             0.81736,            0.010613,           0.0061632,           0.0089065,             0.00406,             0.00406,             0.00406
                  62,            0.013839,           0.0098198,           0.0031449,             0.85941,             0.86113,             0.89214,             0.78714,            0.010636,           0.0063491,            0.010156,            0.003961,            0.003961,            0.003961
                  63,            0.013535,            0.010199,           0.0029208,             0.87376,             0.86037,              0.8913,             0.80968,            0.010504,            0.006178,            0.010604,            0.003862,            0.003862,            0.003862
                  64,            0.013371,           0.0097089,           0.0028371,             0.82756,             0.89328,             0.89087,             0.78726,            0.010801,           0.0063466,            0.014916,            0.003763,            0.003763,            0.003763
                  65,            0.013047,           0.0097159,           0.0033571,             0.85777,             0.86584,             0.88752,             0.79162,           0.0098612,           0.0064342,             0.01202,            0.003664,            0.003664,            0.003664
                  66,             0.01316,           0.0098601,           0.0032054,             0.84835,             0.86506,             0.88617,             0.78874,            0.010273,            0.006588,            0.012993,            0.003565,            0.003565,            0.003565
                  67,            0.012901,           0.0096135,           0.0034435,             0.82654,             0.89377,             0.88429,             0.77497,            0.010145,           0.0063514,            0.014163,            0.003466,            0.003466,            0.003466
                  68,            0.012879,           0.0096746,           0.0030713,             0.87089,             0.88549,             0.89448,             0.77951,            0.010444,           0.0064019,            0.012942,            0.003367,            0.003367,            0.003367
                  69,            0.012666,            0.009673,           0.0034397,             0.86006,             0.88075,             0.89807,             0.79044,            0.010428,           0.0063393,            0.015532,            0.003268,            0.003268,            0.003268
                  70,            0.012508,           0.0096536,           0.0029723,              0.8654,             0.89134,             0.90032,             0.81045,           0.0097949,           0.0061317,            0.014564,            0.003169,            0.003169,            0.003169
                  71,            0.012312,           0.0096185,           0.0030367,             0.91376,             0.86355,             0.90857,             0.82505,           0.0097572,           0.0060892,            0.012415,             0.00307,             0.00307,             0.00307
                  72,            0.012602,           0.0092265,           0.0029658,             0.87282,             0.89186,             0.89761,             0.80055,              0.0101,           0.0063304,            0.009862,            0.002971,            0.002971,            0.002971
                  73,            0.012234,           0.0092095,           0.0030833,             0.92739,             0.86025,             0.87936,               0.798,           0.0096641,           0.0062303,            0.013792,            0.002872,            0.002872,            0.002872
                  74,            0.011868,           0.0088999,            0.002426,             0.92801,             0.86664,             0.89221,             0.80436,           0.0096067,           0.0062319,            0.013561,            0.002773,            0.002773,            0.002773
                  75,            0.011518,             0.00898,           0.0028496,             0.89018,             0.86875,             0.88927,             0.79486,           0.0098186,           0.0062146,            0.013439,            0.002674,            0.002674,            0.002674
                  76,            0.011663,           0.0091387,           0.0026556,             0.90335,             0.85818,             0.87925,              0.7966,           0.0094476,           0.0062049,             0.01311,            0.002575,            0.002575,            0.002575
                  77,            0.011066,           0.0088064,           0.0026329,             0.89943,             0.86281,             0.90306,             0.80559,            0.009567,           0.0062074,            0.012153,            0.002476,            0.002476,            0.002476
                  78,            0.011408,           0.0090467,           0.0025937,             0.90271,              0.8571,             0.90403,             0.82222,           0.0093403,           0.0064169,            0.010406,            0.002377,            0.002377,            0.002377
                  79,            0.011354,            0.008822,           0.0024367,             0.87379,             0.91836,             0.91318,             0.82259,           0.0093853,           0.0063731,            0.010394,            0.002278,            0.002278,            0.002278
                  80,            0.011033,           0.0087135,           0.0022798,             0.90687,             0.85939,             0.90514,             0.81778,           0.0094642,           0.0063141,            0.010948,            0.002179,            0.002179,            0.002179
                  81,            0.011091,           0.0085411,           0.0025206,             0.86355,             0.90501,             0.91118,             0.82323,            0.009457,           0.0062313,            0.011356,             0.00208,             0.00208,             0.00208
                  82,            0.010675,           0.0084677,           0.0024959,             0.83598,              0.8876,             0.90004,             0.81208,           0.0093934,           0.0062297,            0.010953,            0.001981,            0.001981,            0.001981
                  83,            0.010491,           0.0084812,           0.0021132,             0.87486,              0.9038,             0.91415,             0.82056,           0.0098579,           0.0062808,            0.008988,            0.001882,            0.001882,            0.001882
                  84,            0.010461,           0.0083076,           0.0021413,             0.88671,              0.8805,             0.90435,             0.80251,           0.0092923,           0.0061982,             0.01131,            0.001783,            0.001783,            0.001783
                  85,            0.010074,           0.0080827,           0.0024039,             0.87958,             0.85909,             0.89221,             0.79365,           0.0091855,           0.0061444,            0.015031,            0.001684,            0.001684,            0.001684
                  86,            0.010217,           0.0083207,            0.002082,             0.88029,             0.85599,             0.89167,             0.79768,           0.0092032,           0.0061133,            0.015761,            0.001585,            0.001585,            0.001585
                  87,           0.0099389,           0.0084573,           0.0021773,              0.8544,             0.85313,             0.89438,             0.80702,           0.0091384,           0.0060973,            0.013984,            0.001486,            0.001486,            0.001486
                  88,           0.0097158,           0.0080105,           0.0020595,             0.85883,             0.87929,             0.89338,             0.80333,           0.0090955,           0.0060639,            0.013379,            0.001387,            0.001387,            0.001387
                  89,           0.0098985,           0.0084937,           0.0018104,             0.85787,             0.88617,             0.89361,             0.80463,           0.0091669,            0.006062,            0.013927,            0.001288,            0.001288,            0.001288
                  90,           0.0094785,           0.0079665,           0.0017578,             0.86133,             0.89521,             0.89871,             0.81111,           0.0090985,           0.0060204,              0.0143,            0.001189,            0.001189,            0.001189
                  91,           0.0094476,           0.0082533,           0.0019553,             0.87284,             0.88388,             0.90384,             0.81629,           0.0088699,           0.0060231,            0.014587,             0.00109,             0.00109,             0.00109
                  92,           0.0091637,           0.0077781,           0.0016538,             0.87296,             0.88122,              0.9016,             0.81373,           0.0090352,           0.0061525,            0.013028,            0.000991,            0.000991,            0.000991
                  93,           0.0093647,           0.0079001,           0.0016139,             0.85597,             0.91383,             0.90574,             0.82635,           0.0088429,           0.0061061,            0.012493,            0.000892,            0.000892,            0.000892
                  94,           0.0088806,           0.0079849,           0.0019956,             0.87764,             0.90991,              0.9044,             0.81813,           0.0088707,           0.0061682,            0.011514,            0.000793,            0.000793,            0.000793
                  95,           0.0087217,           0.0076967,           0.0016379,             0.87626,             0.87727,             0.90405,             0.81825,           0.0088939,           0.0060852,             0.01196,            0.000694,            0.000694,            0.000694
                  96,           0.0086641,            0.007784,           0.0015673,             0.89734,             0.85625,             0.90072,             0.81374,           0.0088158,           0.0061422,            0.012312,            0.000595,            0.000595,            0.000595
                  97,            0.009058,           0.0079454,           0.0015606,             0.84364,             0.91182,             0.90435,             0.81699,           0.0089582,           0.0061583,            0.012437,            0.000496,            0.000496,            0.000496
                  98,           0.0090606,             0.00791,           0.0020339,             0.87049,             0.91827,             0.90539,             0.82654,           0.0088704,           0.0061522,            0.011775,            0.000397,            0.000397,            0.000397
                  99,           0.0089352,           0.0077232,           0.0019073,             0.86305,             0.88976,             0.90369,             0.81839,           0.0088412,           0.0062008,            0.012251,            0.000298,            0.000298,            0.000298
